,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
0,20141013T000000,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1955,0,98178,47.5112,-122.257,1340,5650
1,20141209T000000,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,1951,1991,98125,47.721,-122.319,1690,7639
2,20150225T000000,180000.0,2,1.0,770,10000,1.0,0,0,3,6,1933,0,98028,47.7379,-122.233,2720,8062
3,20141209T000000,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1965,0,98136,47.5208,-122.393,1360,5000
4,20150218T000000,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1987,0,98074,47.6168,-122.045,1800,7503
5,20140512T000000,1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,2001,0,98053,47.6561,-122.005,4760,101930
6,20140627T000000,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1995,0,98003,47.3097,-122.327,2238,6819
7,20150115T000000,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1963,0,98198,47.4095,-122.315,1650,9711
8,20150415T000000,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1960,0,98146,47.5123,-122.337,1780,8113
9,20150312T000000,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,2003,0,98038,47.3684,-122.031,2390,7570
10,20150403T000000,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1965,0,98007,47.6007,-122.145,2210,8925
11,20140527T000000,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,1942,0,98115,47.69,-122.292,1330,6000
12,20140528T000000,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1927,0,98028,47.7558,-122.229,1780,12697
13,20141007T000000,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1977,0,98074,47.6127,-122.045,1370,10208
14,20150312T000000,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1900,0,98107,47.67,-122.394,1360,4850
15,20150124T000000,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1979,0,98126,47.5714,-122.375,2140,4000
16,20140731T000000,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1994,0,98019,47.7277,-121.962,1890,14018
17,20140529T000000,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1916,0,98103,47.6648,-122.343,1610,4300
18,20141205T000000,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1921,0,98002,47.3089,-122.21,1060,5095
19,20150424T000000,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1969,0,98003,47.3343,-122.306,1280,8850
20,20140514T000000,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,1947,0,98133,47.7025,-122.341,1400,4980
21,20140826T000000,2000000.0,3,2.75,3050,44867,1.0,0,4,3,9,1968,0,98040,47.5316,-122.233,4110,20336
22,20140703T000000,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,1995,0,98092,47.3266,-122.169,2240,7005
23,20140516T000000,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1985,0,98030,47.3533,-122.166,1220,8386
24,20141120T000000,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,1985,0,98030,47.3739,-122.172,2200,6865
25,20141103T000000,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1941,0,98002,47.3048,-122.218,1030,4705
26,20140626T000000,937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1915,0,98119,47.6386,-122.36,1760,3573
